what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1326416500412
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1326416500413
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1326416500421
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1326416500421
started,bundle,org.eclipse.dltk.validators.ui,3.0.0.v20110423,"org.eclipse.dltk.validators.ui",1326416500477
started,bundle,org.eclipse.dltk.validators.core,3.0.0.v20110423,"org.eclipse.dltk.validators.core",1326416500481
started,bundle,org.eclipse.dltk.validators.externalchecker,3.0.0.v20110423,"org.eclipse.dltk.validators.externalchecker",1326416500487
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1326416500532
started,bundle,org.eclipse.php.debug.daemon,3.0.0.v20110516-1100,"org.eclipse.php.debug.daemon",1326416508647
started,bundle,org.eclipse.php.server.core,3.0.0.v20110516-1100,"org.eclipse.php.server.core",1326416508652
started,bundle,org.eclipse.php.debug.core,3.0.0.v20110516-1100,"org.eclipse.php.debug.core",1326416508680
error,log,,,"The debug port 10000 is in use. Please select a different port for the debugger.",1326416508702
error,log,,,"The debug port 9000 is in use. Please select a different port for the debugger.",1326416508703
executed,command,org.eclipse.php.debug.ui,3.0.0.v20110516-1100,"org.eclipse.php.deubg.ui.phpexeShortcut.debug",1326416508782
opened,view,org.eclipse.php.debug.ui,3.0.0.v20110516-1100,"org.eclipse.debug.ui.PHPBrowserOutput",1326416508910
activated,view,org.eclipse.php.debug.ui,3.0.0.v20110516-1100,"org.eclipse.debug.ui.PHPBrowserOutput",1326416508968
opened,view,org.eclipse.php.debug.ui,3.0.0.v20110516-1100,"org.eclipse.debug.ui.PHPDebugOutput",1326416508983
activated,view,org.eclipse.php.debug.ui,3.0.0.v20110516-1100,"org.eclipse.debug.ui.PHPDebugOutput",1326416509014
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1326416509031
started,bundle,org.python.pydev.core,2.3.0.2011121518,"org.python.pydev.core",1326416509116
started,bundle,org.python.pydev.debug,2.3.0.2011121518,"org.python.pydev.debug",1326416509118
started,bundle,com.python.pydev.analysis,2.3.0.2011121518,"com.python.pydev.analysis",1326416509136
started,bundle,org.python.pydev,2.3.0.2011121518,"org.python.pydev",1326416509153
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1326416509183
activated,view,org.eclipse.php.ui,3.0.0.v20110516-1100,"org.eclipse.php.ui.explorer",1326416510983
started,bundle,org.eclipse.php.server.ui,3.0.0.v20110516-1100,"org.eclipse.php.server.ui",1326416513467
executed,command,org.eclipse.php.server.ui,3.0.0.v20110516-1100,"org.eclipse.php.server.ui.phpServerShortcut.debug",1326416513470
error,log,,,"The debug port 10000 is in use. Please select a different port for the debugger.",1326416513499
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326416517129
